Name,Date Added,Year,Last Played,Artist,Genre,Plays
A.D.H.D.,"7/6/15, 10:13 PM",2011,"6/27/17, 9:58 AM",Kendrick Lamar,Hip-Hop/Rap,21
Ab-Souls Outro (feat. Ab-Soul),"8/12/19, 11:16 AM",2011,,Kendrick Lamar,Hip-Hop/Rap,
ABC,"6/27/18, 7:50 PM",1970,"11/3/19, 11:24 AM",Jackson 5,R&B/Soul,11
About a Girl,"8/8/18, 1:53 PM",1989,"2/28/19, 4:47 PM",Nirvana,Alternative,3
About a Girl (Live),"4/17/17, 10:53 PM",1994,"1/29/19, 2:45 PM",Nirvana,Alternative,17
About Me,"10/25/16, 4:57 PM",2009,"6/8/19, 5:50 PM",Raekwon,Hip-Hop/Rap,1
About Me,"10/21/15, 9:06 PM",2009,"12/27/15, 2:03 PM",Raekwon,Rap,4
About the Money (feat. Young Thug),"12/2/16, 1:24 AM",2014,"5/6/19, 12:21 PM",T.I.,Hip-Hop/Rap,18
Above the Clouds,"7/16/18, 12:08 AM",1998,"3/22/20, 3:27 PM",Gang Starr,Hip-Hop/Rap,29
"Abraham, Martin and John","12/9/18, 9:09 PM",1968,"12/13/18, 4:34 PM",Dion,Pop,1
Aces High (2015 Remastered Version),"4/15/19, 2:36 PM",1984,"3/21/20, 1:48 PM",Iron Maiden,Metal,19
Acid Rain,"6/27/19, 10:32 PM",2013,,Chance the Rapper,Hip-Hop/Rap,
Act Right (feat. Jeezy & YG),"3/4/15, 8:15 PM",2013,"3/2/17, 3:20 PM",Yo Gotti,Hip-Hop/Rap,38
Adam and Eve (feat. The-Dream),"6/19/18, 2:21 PM",2018,"2/3/20, 8:14 PM",Nas,Hip-Hop/Rap,22
Adam's Song,"3/4/18, 3:01 AM",1999,"10/23/18, 7:26 PM",blink-182,Rock,1
Addiction,"10/15/15, 5:57 PM",2005,"12/27/15, 1:53 PM",Kanye West,Rap,1
Addiction,"10/25/16, 3:54 PM",2005,,Kanye West,Hip-Hop/Rap,1
Africa,"12/26/16, 12:20 AM",1982,"8/27/19, 10:37 PM",Toto,Rock,9
Africa,"4/26/19, 10:38 PM",2018,"7/14/19, 7:20 PM",Weezer,Alternative,1
After Dark (feat. Static Major & Ty Dolla $ign),"6/29/18, 9:45 AM",2018,,Drake,Hip-Hop/Rap,
