Name,Artist,Genre,Year,Date Added,Last Played,Plays
Santeria,Sublime,Alternative,1996,"5/11/12, 8:56 PM","7/28/20, 12:05 PM",314
Take On Me,a-ha,Pop,1985,"9/10/18, 12:40 PM","7/9/20, 2:43 PM",220
Take On Me,a-ha,Pop,1985,"9/10/18, 12:40 PM","7/9/20, 2:43 PM",220
Cliffs of Dover,Eric Johnson,Rock,1990,"8/16/17, 2:52 PM","8/2/20, 5:21 PM",184
What I'm Here 4,Gang Starr,Hip-Hop/Rap,1998,"12/2/16, 2:17 AM","8/2/20, 5:11 PM",172
Heaven,Los Lonely Boys,Rock,2004,"5/25/18, 8:48 PM","8/2/20, 4:46 PM",163
Hol' Up,Kendrick Lamar,Hip-Hop/Rap,2011,"7/6/15, 10:13 PM","7/31/20, 10:51 AM",161
Sweet Home Alabama,Lynyrd Skynyrd,Rock,1974,"2/16/17, 1:57 PM","8/1/20, 4:26 PM",150
Hotel California,Eagles,,,"8/3/15, 9:36 PM","6/16/20, 2:09 PM",135
Make Her Say,Kid Cudi,Hip-Hop/Rap,2009,"10/25/16, 4:56 PM","6/12/20, 4:10 PM",132
Lake Shore Drive,Aliotta Haynes Jeremiah,Singer/Songwriter,1971,"7/8/18, 2:36 PM","6/12/20, 4:35 PM",129
Ramblin' Man,The Allman Brothers Band,Rock,1973,"2/12/17, 12:40 PM","6/27/20, 2:46 PM",129
Superstar (feat. Matthew Santos),Lupe Fiasco,Hip Hop/Rap,2007,"11/2/14, 6:25 PM","3/12/20, 2:22 PM",119
Don't Stop Me Now,Queen,Rock,1978,"5/7/18, 3:25 PM","6/4/20, 11:55 AM",115
Sultans of Swing,Dire Straits,Rock,1978,"8/16/17, 2:33 PM","8/2/20, 5:16 PM",114
D.J.'s,Sublime,Alternative,1992,"3/13/17, 11:55 AM","11/9/19, 5:38 PM",111
Badfish,Sublime,Alternative,1992,"9/3/16, 1:46 PM","3/1/20, 12:25 PM",109
New Song,Sublime,Alternative,1992,"3/13/17, 11:55 AM","1/29/20, 2:49 PM",108
Beast of Burden,The Rolling Stones,Rock,1978,"4/20/19, 8:20 PM","7/4/20, 12:33 PM",106
"Take Me Home, Country Roads (Original Version)",John Denver,Pop,1971,"6/17/16, 10:28 PM","3/13/20, 11:07 AM",105
What I Got,Sublime,Alternative,1996,"5/12/12, 12:48 PM","8/1/20, 4:19 PM",104
American Pie (Full Length Version),Don Mclean,Rock,1971,"8/15/17, 11:26 AM","4/13/20, 7:08 PM",98
Hooked On a Feeling,Blue Swede,Pop,1973,"1/31/17, 1:01 PM","6/21/20, 6:33 PM",97
Come On Eileen (Single Edit),Dexys Midnight Runners,Alternative,1982,"9/3/18, 11:01 PM","6/16/20, 1:56 PM",97
Say It Ain't So,Weezer,Pop,1994,"3/22/18, 12:03 AM","4/2/20, 2:16 PM",95
Bad Moon Rising,Creedence Clearwater Revival,Rock,1969,"1/31/17, 10:03 PM","3/22/20, 3:00 PM",93
Alright,Kendrick Lamar,Hip-Hop/Rap,2015,"11/16/16, 9:51 PM","7/24/20, 3:15 PM",92
Modern Love,David Bowie,Rock,1983,"3/3/19, 4:17 PM","3/12/20, 2:14 PM",91
Peace of Mind,Boston,Rock,1976,"7/19/17, 3:39 PM","8/2/20, 5:34 PM",89
Snow (Hey Oh),Red Hot Chili Peppers,Alternative,2006,"8/9/16, 4:45 PM","2/25/20, 9:32 PM",87
Down On the Corner,Creedence Clearwater Revival,Rock,1969,"1/31/17, 10:06 PM","3/5/20, 1:59 PM",84
Up Around the Bend,Creedence Clearwater Revival,Rock,1970,"1/31/17, 10:01 PM","4/19/20, 3:18 PM",84
Caress Me Down,Sublime,Alternative,1996,"2/4/17, 8:30 AM","8/1/20, 4:07 PM",84
Carry On Wayward Son,Kansas,Rock,1976,"2/16/17, 1:56 PM","3/22/20, 3:08 PM",83
Scarlet Begonias,Sublime,Alternative,1992,"3/13/17, 11:55 AM","3/12/20, 4:12 PM",73
I Want You Back,Jackson 5,R&B/Soul,1969,"1/30/17, 5:55 PM","3/12/20, 1:59 PM",71
Going Up the Country,Canned Heat,Rock,1972,"11/26/18, 12:15 AM","3/17/20, 5:34 PM",70
Going Up the Country,Canned Heat,Rock,1972,"11/26/18, 12:15 AM","3/17/20, 5:34 PM",70
Lookin' Out My Back Door,Creedence Clearwater Revival,Rock,1970,"1/31/17, 10:13 PM","8/1/20, 3:43 PM",64
Lookin' Out My Back Door,Creedence Clearwater Revival,Rock,1970,"1/31/17, 10:13 PM","8/1/20, 3:43 PM",64
Brown Eyed Girl,Van Morrison,Rock,1967,"6/13/18, 12:04 PM","8/2/20, 4:57 PM",64
Who's Lovin' You,Jackson 5,R&B/Soul,1960,"3/10/17, 2:55 AM","5/6/20, 6:12 PM",62
Doin' Time,Sublime,Alternative,1996,"2/4/17, 8:30 AM","11/18/19, 5:51 PM",59
Proud Mary,Creedence Clearwater Revival,Rock,1968,"1/31/17, 10:06 PM","5/8/20, 4:34 PM",57
Lights,Journey,Rock,1978,"1/11/20, 3:16 PM","6/12/20, 4:48 PM",56
Jump,Van Halen,Hard Rock,1983,"4/20/18, 3:03 PM","6/12/20, 4:04 PM",56
All Right Now (Single Version),Free,Rock,1970,"3/29/18, 12:08 PM","11/28/19, 4:14 PM",55
It Wasn't Me (feat. Ricardo Ducent),Shaggy,Pop,2000,"5/7/18, 8:29 PM","3/22/20, 4:07 PM",54
Under the Bridge,Red Hot Chili Peppers,Alternative,1991,"6/30/16, 2:50 PM","12/4/19, 4:49 PM",52
Ocean Man,Ween,,,"1/1/16, 3:11 PM","6/16/20, 2:22 PM",52
Southern Nights,Glen Campbell,Country,1977,"8/2/18, 9:54 PM","2/28/20, 6:22 PM",51
The Ways,"Khalid, Swae Lee",Hip-Hop/Rap,2018,"2/23/18, 11:08 AM","7/24/20, 3:09 PM",51
Dancing In the Moonlight (Original Recording),King Harvest,Rock,1972,"3/14/19, 12:22 PM","6/21/20, 12:11 PM",50
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,R&B/Soul,1967,"1/31/17, 1:01 PM","3/22/20, 3:36 PM",50
Rivers of Babylon,Sublime,Alternative,1992,"3/13/17, 11:55 AM","7/24/20, 2:54 PM",50
Smooth (feat. Rob Thomas),Santana,Rock,1999,"11/26/18, 4:40 PM","7/24/20, 2:33 PM",48
Bohemian Rhapsody,Queen,Rock,1975,"2/12/17, 11:00 PM","6/21/20, 1:59 PM",47
Paradise City,Guns N' Roses,Hard Rock,1987,"3/19/18, 1:14 PM","8/2/20, 5:44 PM",45
Tainted Love,Soft Cell,Pop,1981,"12/9/18, 2:38 AM","4/19/20, 3:01 PM",44
Tangerine,Led Zeppelin,Rock,1970,"2/24/19, 4:32 PM","4/19/20, 2:21 PM",42
My Girl,The Temptations,R&B/Soul,1964,"3/17/20, 12:20 AM","7/28/20, 11:57 AM",42
Float On,Modest Mouse,Alternative,2004,"3/5/17, 4:29 PM","11/3/19, 12:32 PM",41
40oz. to Freedom,Sublime,Alternative,1992,"3/13/17, 11:55 AM","4/1/20, 6:06 PM",41
You Got Lucky,Tom Petty & The Heartbreakers,Rock,1982,"7/8/19, 1:55 PM","6/16/20, 1:49 PM",41
Scar Tissue,Red Hot Chili Peppers,Alternative,1999,"6/30/16, 2:50 PM","3/22/20, 4:10 PM",40
Let's Go Get Stoned,Sublime,Alternative,1992,"3/13/17, 11:55 AM","3/13/20, 11:04 AM",40
We Didn't Start the Fire,Billy Joel,Rock,1989,"2/12/18, 12:36 PM","12/16/19, 4:41 PM",39
Hey Ya! (Radio Mix / Club Mix),Outkast,Hip-Hop/Rap,2003,"3/9/17, 4:45 PM","3/13/20, 1:10 PM",39
