,Name,Date Added,Year,Last Played,Artist,Genre,Plays
0,A.D.H.D.,"7/6/15, 10:13 PM",2011.0,"6/27/17, 9:58 AM",Kendrick Lamar,Hip-Hop/Rap,21.0
1,About the Money (feat. Young Thug),"12/2/16, 1:24 AM",2014.0,"5/6/19, 12:21 PM",T.I.,Hip-Hop/Rap,18.0
2,Above the Clouds,"7/16/18, 12:08 AM",1998.0,"3/22/20, 3:27 PM",Gang Starr,Hip-Hop/Rap,29.0
3,Aces High (2015 Remastered Version),"4/15/19, 2:36 PM",1984.0,"3/21/20, 1:48 PM",Iron Maiden,Metal,19.0
4,Act Right (feat. Jeezy & YG),"3/4/15, 8:15 PM",2013.0,"3/2/17, 3:20 PM",Yo Gotti,Hip-Hop/Rap,38.0
5,Adam and Eve (feat. The-Dream),"6/19/18, 2:21 PM",2018.0,"2/3/20, 8:14 PM",Nas,Hip-Hop/Rap,22.0
6,Ain't No Mountain High Enough,"1/31/17, 1:01 PM",1967.0,"8/16/20, 1:52 PM",Marvin Gaye & Tammi Terrell,R&B/Soul,52.0
7,Alive (Nightmare),"10/15/15, 5:46 PM",2009.0,"10/5/16, 3:54 PM",Kid Cudi,Rap,29.0
8,Alive (Nightmare),"3/14/17, 11:24 PM",2009.0,"11/5/19, 4:34 PM",Kid Cudi,Hip-Hop/Rap,25.0
9,All Along the Watchtower,"3/4/17, 1:20 AM",1968.0,"6/14/20, 2:38 PM",Jimi Hendrix,Rock,48.0
10,All Gold Everything,"12/2/16, 1:23 AM",2012.0,"1/26/20, 2:28 PM",Trinidad James,Hip-Hop/Rap,22.0
11,All of the Lights,"1/30/15, 12:07 AM",2010.0,"9/24/19, 2:32 PM",Kanye West,Hip-Hop/Rap,42.0
12,All Right Now (Single Version),"3/29/18, 12:08 PM",1970.0,"11/28/19, 4:14 PM",Free,Rock,55.0
13,All Star,"1/7/20, 3:21 PM",1999.0,"8/16/20, 2:22 PM",Smash Mouth,Alternative,40.0
14,Alright,"9/30/15, 8:54 PM",2015.0,"8/14/16, 1:42 PM",Kendrick Lamar,Hip-Hop/Rap,34.0
15,Alright,"11/16/16, 9:51 PM",2015.0,"7/24/20, 3:15 PM",Kendrick Lamar,Hip-Hop/Rap,92.0
16,Amazing (feat. Young Jeezy),"7/1/17, 12:25 AM",2008.0,"10/20/18, 7:07 PM",Kanye West,Hip-Hop/Rap,22.0
